,Data,Positivi,Positivi (previsione scenario 1),Positivi (previsione scenario 2),Ospedalizzati,Ospedalizzati (previsione scenario 1),Ospedalizzati (previsione scenario 2),Terapia Intensiva,Terapia Intensiva (previsione scenario 1),Terapia Intensiva (previsione scenario 2),Decessi giornalieri,Decessi giornalieri (previsione scenario 1),Decessi giornalieri (previsione scenario 2)
67,2020-12-12,,445567.27035105764,450585.72713699075,,30496.56716741228,30840.052236071795,,3238.188523977933,3274.6604783912007,,596.4150901047802,603.1325569281647
68,2020-12-13,,433719.69683256187,443545.06213297596,,29789.83552880127,30464.686171848552,,3169.170872263223,3240.9643871688627,,583.8622058532097,597.088857765742
69,2020-12-14,,422035.73375334416,436458.43580187176,,29085.715091904614,30079.693964044556,,3099.90499226152,3205.8415339010508,,571.2496995136431,590.771658325338
70,2020-12-15,,410522.18591801974,429334.98658202065,,28385.2344433494,29686.030784452152,,3030.5399360933193,3169.41901663442,,558.606043241942,584.2050108536839
71,2020-12-16,,399185.2136724985,422183.5387400498,,27689.330219525782,29284.60027332562,,2961.2111292495965,3131.815885667269,,545.9571760918418,577.4114989942525
72,2020-12-17,,388030.35149503883,415012.59447979316,,26998.854935208907,28876.25875520688,,2892.0416724544475,3093.143907956247,,533.3266364759764,570.4122635156966
73,2020-12-18,,377062.52802450466,407830.32797987637,,26314.58371106781,28461.81868499341,,2823.14346960594,3053.508215668706,,520.7358211045115,563.2271703703251
74,2020-12-19,,366286.08707556117,400644.581005597,,25637.220230004525,28042.051608363407,,2754.6182244431657,3013.0078736371643,,508.2041788345261,555.8749225777982
75,2020-12-20,,355704.8095465819,393462.8600965981,,24967.401969321894,27617.69063666356,,2686.558322879494,2971.7363756872583,,495.7493911134443,548.3731680976853
76,2020-12-21,,345321.93578939146,386292.3349508447,,24305.70500124844,27189.43271326097,,2619.0476208156115,2929.78208430221,,483.3875028210466,540.738562477781
77,2020-12-22,,335140.1885513348,379139.8381991656,,23652.64825459859,26757.94052331827,,2552.1621378964383,2887.2286078333964,,471.13306889524074,532.9868562864318
78,2020-12-23,,325161.7961634218,372011.86627959233,,23008.697407757754,26323.844204072764,,2485.9706817484853,2844.1551367516977,,458.99926281321893,525.1329473351922
79,2020-12-24,,315388.5162331108,364914.58176755963,,22374.26829110035,25887.742690565632,,2420.5353841861765,2800.636712850442,,446.99802130180666,517.190980643419
80,2020-12-25,,305821.6592601233,357853.81656479713,,21749.730086460113,25450.204997003675,,2355.9121919134122,2756.7444745653474,,435.14011544508486,509.17437119789446
81,2020-12-26,,296462.1117044462,350835.07542316563,,21135.40852902538,25011.771665353182,,2292.151351841756,2712.545922921904,,423.43517497822796,501.0957747558943
82,2020-12-27,,287310.35964371805,343863.54115531105,,20531.588463082062,24572.955612230024,,2229.297783509233,2668.1050800875,,411.8918674002886,492.9672437602751
83,2020-12-28,,278366.51188182156,336944.08025306254,,19938.51639766164,24134.243102032524,,2167.3914478185584,2623.482663186212,,400.5179206337757,484.8002063197514
84,2020-12-29,,269630.3226810057,330081.2491183842,,19356.402878462668,23696.094627014794,,2106.467687893865,2578.7362442544113,,389.320188042797,476.60549710577277
85,2020-12-30,,261101.2141854865,323279.3010013678,,18785.42475443602,23258.945779216665,,2046.5575321490096,2533.9203822400004,,378.3047068775422,468.3933837167779
86,2020-12-31,,252778.29834738636,316542.19342600636,,18225.727303790103,22823.208065106526,,1987.6879778729385,2489.0867470661124,,367.4767510707134,460.1735891786411
87,2021-01-01,,244660.39826875084,309873.595994057,,17677.426172192227,22389.26959433594,,1929.8822527177513,2444.2842312300077,,356.8408905323748,451.9553255428174
88,2021-01-02,,236746.06907131372,303276.89870084345,,17140.609271853857,21957.495819053664,,1873.1600615994203,2399.559057012396,,346.4010268162961,443.7473007756202
89,2021-01-03,,229033.618019963,296755.22040970414,,16615.338586153084,21528.230252582187,,1817.5378166834807,2354.9548754273565,,336.1604367096434,435.55773755491913
90,2021-01-04,,221521.12412696186,290311.4177560369,,16101.651854238879,21101.795128752987,,1763.0288401812597,2310.512842307788,,326.1218239523267,427.3944051426981
91,2021-01-05,,214206.45695966505,283948.09410932346,,15599.564199167131,20678.492077965733,,1709.6435767222972,2266.2717179807196,,316.28734115257686,419.26461501620656
92,2021-01-06,,207087.29480140467,277667.6087599358,,15109.06967204895,20258.602781249152,,1657.38977738506,2222.2679412129264,,306.6586365878015,411.17525055592847
93,2021-01-07,,200161.14206962017,271472.0861811342,,14630.142727955812,19842.38961878267,,1606.272678432287,2178.535706186674,,297.23688436776473,403.13277719624267
94,2021-01-08,,193425.34613796032,265363.4255365187,,14162.739646267657,19430.096326852974,,1556.2951745902521,2135.107042179796,,288.0228107165439,395.1432488578012
95,2021-01-09,,186877.11313932436,259343.30982945397,,13706.799866165999,19021.948620381278,,1507.4579778464756,2092.0118832960165,,279.0167334917123,387.2123340625195
