,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
177,26-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1176,2.1065,0.0728,0.1193,0.5404,0.3346
178,26-01-2021,Totale vaccinazioni,2049404.0,4166264.0,1577806.0,1356461.0,7638543.0,23540994.0
179,26-01-2021,Totale vaccinazioni ogni cento abitanti,2.45,48.13,2.61,2.9,11.25,7.04
180,27-01-2021,Vaccinazioni giornaliere,96044.0,179926.0,49812.0,52812.0,359424.0,1161050.0
181,27-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1146,2.0787,0.0824,0.113,0.5295,0.3472
182,27-01-2021,Totale vaccinazioni,2159706.0,4367127.0,1647632.0,1395618.0,7953250.0,24652634.0
183,27-01-2021,Totale vaccinazioni ogni cento abitanti,2.58,50.45,2.73,2.98,11.72,7.37
184,28-01-2021,Vaccinazioni giornaliere,96724.0,176714.0,58106.0,52984.0,359934.0,1235330.0
185,28-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1154,2.0416,0.0961,0.1133,0.5302,0.3694
186,28-01-2021,Totale vaccinazioni,2258631.0,4575681.0,1739964.0,1474189.0,8369438.0,26193682.0
187,28-01-2021,Totale vaccinazioni ogni cento abitanti,2.7,52.86,2.88,3.15,12.33,7.83
188,29-01-2021,Vaccinazioni giornaliere,95869.0,175671.0,68108.0,50484.0,361343.0,1253815.0
189,29-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1144,2.0296,0.1126,0.108,0.5323,0.3749
190,29-01-2021,Totale vaccinazioni,2366458.0,4676360.0,1835566.0,,8859372.0,27884661.0
191,29-01-2021,Totale vaccinazioni ogni cento abitanti,2.82,54.03,3.04,,13.05,8.34
192,30-01-2021,Vaccinazioni giornaliere,94817.0,173362.0,75146.0,51790.0,377914.0,1291416.0
193,30-01-2021,Vaccinazioni giornaliere ogni cento abitanti,0.1132,2.0029,0.1243,0.1108,0.5567,0.3861
194,30-01-2021,Totale vaccinazioni,2449931.0,4753017.0,1923056.0,,9468382.0,29577902.0
195,30-01-2021,Totale vaccinazioni ogni cento abitanti,2.92,54.91,3.18,,13.95,8.84
196,31-01-2021,Vaccinazioni giornaliere,94332.0,162593.0,78739.0,53095.0,392361.0,1324949.0
