,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
472,01-03-2021,Totale vaccinazioni,6516400.0,8226008.0,4555099.0,3908734.0,21322717.0,76899987.0
473,01-03-2021,Totale vaccinazioni ogni cento abitanti,7.77,93.59,7.55,8.36,31.26,22.86
478,02-03-2021,Totale vaccinazioni,6736092.0,8331595.0,4717509.0,4059320.0,21599027.0,78631601.0
479,02-03-2021,Totale vaccinazioni ogni cento abitanti,8.03,94.79,7.81,8.68,31.67,23.38
484,03-03-2021,Totale vaccinazioni,6983921.0,8439993.0,4905273.0,4229092.0,21946433.0,80540474.0
485,03-03-2021,Totale vaccinazioni ogni cento abitanti,8.32,96.02,8.13,9.05,32.18,23.95
490,04-03-2021,Totale vaccinazioni,7229316.0,8558375.0,5103781.0,4471577.0,22392883.0,82572848.0
491,04-03-2021,Totale vaccinazioni ogni cento abitanti,8.62,97.37,8.45,9.57,32.83,24.55
496,05-03-2021,Totale vaccinazioni,7504222.0,8615874.0,5310490.0,,22887118.0,85008094.0
497,05-03-2021,Totale vaccinazioni ogni cento abitanti,8.94,98.02,8.8,,33.56,25.28
502,06-03-2021,Totale vaccinazioni,7706865.0,8651731.0,5488798.0,,23335514.0,87912323.0
503,06-03-2021,Totale vaccinazioni ogni cento abitanti,9.19,98.43,9.09,,34.21,26.14
508,07-03-2021,Totale vaccinazioni,7854619.0,8755412.0,5591953.0,4712191.0,23519898.0,90351750.0
509,07-03-2021,Totale vaccinazioni ogni cento abitanti,9.36,99.61,9.26,10.08,34.48,26.86
514,08-03-2021,Totale vaccinazioni,8092636.0,8855691.0,5774045.0,4848648.0,23773959.0,92089852.0
515,08-03-2021,Totale vaccinazioni ogni cento abitanti,9.65,100.75,9.56,10.37,34.86,27.38
520,09-03-2021,Totale vaccinazioni,8345488.0,8958704.0,5969842.0,4989505.0,24064182.0,93692598.0
521,09-03-2021,Totale vaccinazioni ogni cento abitanti,9.95,101.92,9.89,10.67,35.28,27.86
526,10-03-2021,Totale vaccinazioni,8635065.0,9040324.0,6186169.0,5172106.0,24405231.0,95721290.0
527,10-03-2021,Totale vaccinazioni ogni cento abitanti,10.29,102.85,10.25,11.06,35.78,28.46
532,11-03-2021,Totale vaccinazioni,8919759.0,9132296.0,6411179.0,5352767.0,24759603.0,98203893.0
533,11-03-2021,Totale vaccinazioni ogni cento abitanti,10.63,103.9,10.62,11.45,36.3,29.2
538,12-03-2021,Totale vaccinazioni,9246782.0,9184705.0,6623907.0,,25216857.0,101128005.0
539,12-03-2021,Totale vaccinazioni ogni cento abitanti,11.02,104.49,10.97,,36.97,30.07
544,13-03-2021,Totale vaccinazioni,9487642.0,9217736.0,6801219.0,,25781120.0,105703501.0
545,13-03-2021,Totale vaccinazioni ogni cento abitanti,11.31,104.87,11.27,,37.8,31.43
550,14-03-2021,Totale vaccinazioni,9657897.0,9312401.0,6907344.0,,26063501.0,107060274.0
551,14-03-2021,Totale vaccinazioni ogni cento abitanti,11.51,105.95,11.44,,38.21,31.83
556,15-03-2021,Totale vaccinazioni,9906235.0,9410419.0,7082756.0,5644895.0,26503552.0,109081860.0
557,15-03-2021,Totale vaccinazioni ogni cento abitanti,11.81,107.06,11.73,12.08,38.86,32.43
562,16-03-2021,Totale vaccinazioni,10085460.0,9500330.0,7223372.0,5742218.0,27032671.0,110737856.0
563,16-03-2021,Totale vaccinazioni ogni cento abitanti,12.02,108.08,11.97,12.28,39.63,32.93
568,17-03-2021,Totale vaccinazioni,10290872.0,9576688.0,7389529.0,5857085.0,27614526.0,113037627.0
569,17-03-2021,Totale vaccinazioni ogni cento abitanti,12.27,108.95,12.24,12.53,40.49,33.61
574,18-03-2021,Totale vaccinazioni,10484881.0,9650499.0,7553566.0,5993363.0,28274802.0,115730008.0
575,18-03-2021,Totale vaccinazioni ogni cento abitanti,12.5,109.79,12.51,12.82,41.45,34.41
580,19-03-2021,Totale vaccinazioni,10730516.0,9685129.0,7729822.0,,29015457.0,118313818.0
581,19-03-2021,Totale vaccinazioni ogni cento abitanti,12.79,110.19,12.8,,42.54,35.18
586,20-03-2021,Totale vaccinazioni,10950941.0,9705486.0,7905934.0,,29859742.0,121441497.0
587,20-03-2021,Totale vaccinazioni ogni cento abitanti,13.05,110.42,13.1,,43.78,36.11
592,21-03-2021,Totale vaccinazioni,11115699.0,9758908.0,8036497.0,,30279360.0,124481412.0
593,21-03-2021,Totale vaccinazioni ogni cento abitanti,13.25,111.03,13.31,,44.39,37.01
598,22-03-2021,Totale vaccinazioni,11385543.0,9812647.0,8233028.0,6321908.0,30691557.0,126509736.0
599,22-03-2021,Totale vaccinazioni ogni cento abitanti,13.57,111.64,13.64,13.52,45.0,37.62
604,23-03-2021,Totale vaccinazioni,11687094.0,9822410.0,8459938.0,6409196.0,31186362.0,128217029.0
605,23-03-2021,Totale vaccinazioni ogni cento abitanti,13.93,111.75,14.01,13.71,45.72,38.12
610,24-03-2021,Totale vaccinazioni,12026738.0,9879580.0,8717825.0,6620093.0,31766669.0,130473853.0
611,24-03-2021,Totale vaccinazioni ogni cento abitanti,14.33,112.4,14.44,14.16,46.57,38.79
616,25-03-2021,Totale vaccinazioni,12359877.0,9924898.0,8989390.0,6839736.0,32325993.0,133305295.0
617,25-03-2021,Totale vaccinazioni ogni cento abitanti,14.73,112.91,14.89,14.63,47.39,39.64
622,26-03-2021,Totale vaccinazioni,12734605.0,9942126.0,9261669.0,7067371.0,33020952.0,136684688.0
