,date,variable,Germany,Israel,Italy,Spain,United Kingdom,United States
258,15-02-2021,Totale vaccinazioni,4356115.0,6627152.0,3131384.0,2624512.0,16122272.0,
259,15-02-2021,Totale vaccinazioni ogni cento abitanti,5.2,76.57,5.18,5.61,23.75,
262,16-02-2021,Totale vaccinazioni,4490214.0,6788514.0,3202425.0,2690457.0,16499549.0,55220364.0
263,16-02-2021,Totale vaccinazioni ogni cento abitanti,5.36,78.43,5.3,5.75,24.3,16.51
266,17-02-2021,Totale vaccinazioni,4640973.0,6925652.0,3282680.0,2782751.0,16996806.0,56281827.0
267,17-02-2021,Totale vaccinazioni ogni cento abitanti,5.54,80.01,5.43,5.95,25.04,16.83
270,18-02-2021,Totale vaccinazioni,4785222.0,7074128.0,3372460.0,2936011.0,17465127.0,57737767.0
271,18-02-2021,Totale vaccinazioni ogni cento abitanti,5.71,81.73,5.58,6.28,25.73,17.26
274,19-02-2021,Totale vaccinazioni,4943542.0,7151684.0,3465282.0,,17852327.0,59585043.0
275,19-02-2021,Totale vaccinazioni ogni cento abitanti,5.9,82.63,5.73,,26.3,17.82
278,20-02-2021,Totale vaccinazioni,5055605.0,7211912.0,3543488.0,,18197269.0,61289500.0
279,20-02-2021,Totale vaccinazioni ogni cento abitanti,6.03,83.32,5.86,,26.81,18.33
282,21-02-2021,Totale vaccinazioni,5141403.0,7369574.0,3594510.0,3090351.0,18348165.0,63090634.0
283,21-02-2021,Totale vaccinazioni ogni cento abitanti,6.14,85.14,5.95,6.61,27.03,18.86
286,22-02-2021,Totale vaccinazioni,5296728.0,7534815.0,3700084.0,3165191.0,18558969.0,64177474.0
287,22-02-2021,Totale vaccinazioni ogni cento abitanti,6.32,87.05,6.12,6.77,27.34,19.19
290,23-02-2021,Totale vaccinazioni,5466370.0,7682239.0,3806658.0,3284678.0,18911978.0,65032083.0
291,23-02-2021,Totale vaccinazioni ogni cento abitanti,6.52,88.76,6.3,7.03,27.86,19.44
294,24-02-2021,Totale vaccinazioni,5641991.0,7805988.0,3928684.0,3436158.0,19392553.0,66464947.0
295,24-02-2021,Totale vaccinazioni ogni cento abitanti,6.73,90.18,6.5,7.35,28.57,19.87
298,25-02-2021,Totale vaccinazioni,5830717.0,7922044.0,4057027.0,3605635.0,19913592.0,68274117.0
299,25-02-2021,Totale vaccinazioni ogni cento abitanti,6.96,91.53,6.71,7.71,29.33,20.41
302,26-02-2021,Totale vaccinazioni,6043017.0,7979687.0,4195290.0,,20450858.0,70454064.0
303,26-02-2021,Totale vaccinazioni ogni cento abitanti,7.21,92.19,6.94,,30.13,21.07
306,27-02-2021,Totale vaccinazioni,6190735.0,8019070.0,4322011.0,,20885683.0,72806180.0
307,27-02-2021,Totale vaccinazioni ogni cento abitanti,7.39,92.65,7.15,,30.77,21.77
310,28-02-2021,Totale vaccinazioni,6293566.0,8114949.0,4400344.0,3829465.0,21091267.0,75236003.0
311,28-02-2021,Totale vaccinazioni ogni cento abitanti,7.51,93.75,7.28,8.19,31.07,22.5
314,01-03-2021,Totale vaccinazioni,6491666.0,8221725.0,4536146.0,3908734.0,21322717.0,76899987.0
315,01-03-2021,Totale vaccinazioni ogni cento abitanti,7.75,94.99,7.5,8.36,31.41,22.99
318,02-03-2021,Totale vaccinazioni,6710241.0,8327257.0,4698193.0,4059320.0,21599027.0,78631601.0
319,02-03-2021,Totale vaccinazioni ogni cento abitanti,8.01,96.21,7.77,8.68,31.82,23.51
322,03-03-2021,Totale vaccinazioni,6956436.0,8435605.0,4885460.0,4229092.0,21946433.0,80540474.0
323,03-03-2021,Totale vaccinazioni ogni cento abitanti,8.3,97.46,8.08,9.05,32.33,24.08
326,04-03-2021,Totale vaccinazioni,7200887.0,8553931.0,5083528.0,4471577.0,22392883.0,82572848.0
327,04-03-2021,Totale vaccinazioni ogni cento abitanti,8.59,98.83,8.41,9.56,32.99,24.69
330,05-03-2021,Totale vaccinazioni,7476525.0,8611416.0,5289674.0,,22887118.0,85008094.0
331,05-03-2021,Totale vaccinazioni ogni cento abitanti,8.92,99.49,8.75,,33.71,25.42
334,06-03-2021,Totale vaccinazioni,7678204.0,8647263.0,5467238.0,,23335514.0,87912323.0
335,06-03-2021,Totale vaccinazioni ogni cento abitanti,9.16,99.9,9.04,,34.37,26.29
338,07-03-2021,Totale vaccinazioni,7825736.0,8750913.0,5569925.0,4712191.0,23519898.0,90351750.0
339,07-03-2021,Totale vaccinazioni ogni cento abitanti,9.34,101.1,9.21,10.08,34.65,27.02
342,08-03-2021,Totale vaccinazioni,8063186.0,8851157.0,5751428.0,4848648.0,23773959.0,92089852.0
343,08-03-2021,Totale vaccinazioni ogni cento abitanti,9.62,102.26,9.51,10.37,35.02,27.54
346,09-03-2021,Totale vaccinazioni,8315397.0,8954136.0,5946592.0,4989505.0,24064182.0,93692598.0
347,09-03-2021,Totale vaccinazioni ogni cento abitanti,9.92,103.45,9.84,10.67,35.45,28.01
350,10-03-2021,Totale vaccinazioni,8603686.0,9035730.0,6162312.0,5172106.0,24405231.0,95721290.0
351,10-03-2021,Totale vaccinazioni ogni cento abitanti,10.27,104.39,10.19,11.06,35.95,28.62
354,11-03-2021,Totale vaccinazioni,8887922.0,9127675.0,6385992.0,5352767.0,24759603.0,98203893.0
355,11-03-2021,Totale vaccinazioni ogni cento abitanti,10.61,105.45,10.56,11.45,36.47,29.36
358,12-03-2021,Totale vaccinazioni,9214384.0,9180069.0,6597966.0,,25216857.0,101128005.0
359,12-03-2021,Totale vaccinazioni ogni cento abitanti,11.0,106.06,10.91,,37.15,30.24
362,13-03-2021,Totale vaccinazioni,9454978.0,9213099.0,6774873.0,,25781120.0,105703501.0
363,13-03-2021,Totale vaccinazioni ogni cento abitanti,11.28,106.44,11.21,,37.98,31.61
366,14-03-2021,Totale vaccinazioni,9625017.0,9307758.0,6880803.0,,26063501.0,107060274.0
367,14-03-2021,Totale vaccinazioni ogni cento abitanti,11.49,107.54,11.38,,38.39,32.01
370,15-03-2021,Totale vaccinazioni,9872668.0,9405718.0,7055699.0,5644895.0,26503552.0,109081860.0
371,15-03-2021,Totale vaccinazioni ogni cento abitanti,11.78,108.67,11.67,12.07,39.04,32.62
374,16-03-2021,Totale vaccinazioni,10051565.0,9495608.0,7195974.0,5742218.0,27032671.0,110737856.0
375,16-03-2021,Totale vaccinazioni ogni cento abitanti,12.0,109.71,11.9,12.28,39.82,33.11
378,17-03-2021,Totale vaccinazioni,10256523.0,9571942.0,7361615.0,5857085.0,27614526.0,113037627.0
379,17-03-2021,Totale vaccinazioni ogni cento abitanti,12.24,110.59,12.18,12.53,40.68,33.8
382,18-03-2021,Totale vaccinazioni,10450006.0,9645733.0,7525018.0,5993363.0,28274802.0,115730008.0
383,18-03-2021,Totale vaccinazioni ogni cento abitanti,12.47,111.44,12.45,12.82,41.65,34.6
386,19-03-2021,Totale vaccinazioni,10694699.0,9680354.0,7700798.0,,29015457.0,118313818.0
387,19-03-2021,Totale vaccinazioni ogni cento abitanti,12.76,111.84,12.74,,42.74,35.38
390,20-03-2021,Totale vaccinazioni,10914953.0,9700698.0,7876580.0,,29859742.0,121441497.0
391,20-03-2021,Totale vaccinazioni ogni cento abitanti,13.03,112.08,13.03,,43.99,36.31
394,21-03-2021,Totale vaccinazioni,11079444.0,9754091.0,8006925.0,,30279360.0,124481412.0
395,21-03-2021,Totale vaccinazioni ogni cento abitanti,13.22,112.69,13.24,,44.6,37.22
398,22-03-2021,Totale vaccinazioni,11348587.0,9807817.0,8203011.0,6321908.0,30691557.0,126509736.0
399,22-03-2021,Totale vaccinazioni ogni cento abitanti,13.55,113.31,13.57,13.52,45.21,37.83
402,23-03-2021,Totale vaccinazioni,11649295.0,9817575.0,8429351.0,6409196.0,31186362.0,128217029.0
403,23-03-2021,Totale vaccinazioni ogni cento abitanti,13.9,113.43,13.94,13.71,45.94,38.34
406,24-03-2021,Totale vaccinazioni,11988320.0,9874716.0,8686298.0,6620093.0,31766669.0,130473853.0
407,24-03-2021,Totale vaccinazioni ogni cento abitanti,14.31,114.09,14.37,14.16,46.79,39.01
410,25-03-2021,Totale vaccinazioni,12320945.0,9920007.0,8956940.0,6839736.0,32325993.0,133305295.0
411,25-03-2021,Totale vaccinazioni ogni cento abitanti,14.71,114.61,14.81,14.63,47.62,39.86
